id,num,reference,site,longitude,latitude,MAT,MAP,SPH,SSOC,STN,SCN,sand,silt,clay,siltclay,texture,alltreatment,treatment,treatment1,treatment2,materialtype,dose,MorganicC,MorganicN,MorganicCN,MorganicPH,Mwater,Cinput,totelCinput,Ninput,orangicN,Ninput1,tillagemethod,returndepth,duration,Cinput1,experientmenttype,croptype,depth,SOC_treat,SOC_treat_SD,SOC_treat_n,SOC_con,SOC_con_SD,SOC_con_n,SOCyi,SOCvi,DSOC,Z_SOC,POC_treat,POC_treat_SD,POC_treat_n,POC_con,POC_con_SD,POC_con_n,POCyi,POCvi,DPOC,MOC_treat,MOC_treat_SD,MOC_treat_n,MOC_con,MOC_con_SD,MOC_con_n,MOCyi,MOCvi,DMOC,POCSOC_treat,POCSOC_treat_SD,POCSOC_treat_n,POCSOC_con,POCSOC_con_SD,POCSOC_con_n,POCSOCyi,POCSOCvi,MOCSOC_treat,MOCSOC_treat_SD,MOCSOC_treat_n,MOCSOC_con,MOCSOC_con_SD,MOCSOC_con_n,MOCSOCyi,MOCSOCvi,MOCPOC_treat,MOCPOC_treat_SD,MOCPOC_treat_n,MOCPOC_con,MOCPOC_con_SD,MOCPOC_con_n,MOCPOCyi,MOCPOCvi,DOC_treat,DOC_treat_SD,DOC_treat_n,DOC_con,DOC_con_SD,DOC_con_n,DOCyi,DOCvi,EOC_treat,EOC_treat_SD,EOC_treat_n,EOC_con,EOC_con_SD,EOC_con_n,EOCyi,EOCvi,MBC_treat,MBC_treat_SD,MBC_treat_n,MBC_con,MBC_con_SD,MBC_con_n,MBCyi,MBCvi,MBN_treat,MBN_treat_SD,MBN_treat_n,MBN_con,MBN_con_SD,MBN_con_n,MBNyi,MBNvi,MBCN_treat,MBCN_treat_SD,MBCN_treat_n,MBCN_con,MBCN_con_SD,MBCN_con_n,MBCNyi,MBCNvi,TN_treat,TN_treat_SD,TN_treat_n,TN_con,TN_con_SD,TN_con_n,TNyi,TNvi,TCN_treat,TCN_treat_SD,TCN_treat_n,TCN_con,TCN_con_SD,TCN_con_n,TCNyi,TCNvi,imblance_treat,imblance_treat_SD,imblance_treat_n,imblance_con,imblance_con_SD,imblance_con_n,imblanceyi,imblancevi,AN_treat,AN_treat_SD,AN_treat_n,AN_con,AN_con_SD,AN_con_n,ANyi,ANvi,TP_treat,TP_treat_SD,TP_treat_n,TP_con,TP_con_SD,TP_con_n,AP_treat,AP_treat_SD,AP_treat_n,AP_con,AP_con_SD,AP_con_n,APyi,APvi,AK_treat,AK_treat_SD,AK_treat_n,AK_con,AK_con_SD,AK_con_n,AKyi,AKvi,pH_treat,pH_treat_SD,pH_treat_n,pH_con,pH_con_SD,pH_con_n,pHyi,pHvi,BD_treat,BD_treat_SD,BD_treat_n,BD_con,BD_con_SD,BD_con_n,BDyi,BDvi,yield_treat,yield_treat_SD,yield_treat_n,yield_con,yield_con_SD,yield_con_n,yieldyi,yieldvi,Dyield
2556,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,IF-NF,NP-CK,NP,N,,,,,,,,,,300,,,,,18,,field,wheat maize,0-20,9.973375932,0.997337593,2,7.364217252,0.736421725,2,0.303286371,0.01,2.609158679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.152777778,0.115277778,2,0.930555556,0.093055556,2,0.214147988,0.01,8.651603218,0.865160322,2,7.913785704,0.79137857,2,0.089138382,0.01,,,,,,,,,72.96969697,7.296969697,2,51.33333333,5.133333333,2,0.351703931,0.01,0.720554273,0.072055427,2,0.284064665,0.028406467,2,67.53926702,6.753926702,2,2.356020942,0.235602094,2,3.355735008,0.01,,,,,,,,,6.81671159,0.681671159,2,5.908355795,0.59083558,2,,,,,,,,,,,,,,,,,,,
2557,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,IF-NF,NPK-CK,NPK,N,,,,,,,,,,300,,,,,18,,field,wheat maize,0-20,9.973375932,0.997337593,2,7.364217252,0.736421725,2,0.303286371,0.01,2.609158679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.180555556,0.118055556,2,0.930555556,0.093055556,2,0.237958637,0.01,8.448036083,0.844803608,2,7.913785704,0.79137857,2,0.065327734,0.01,,,,,,,,,58.12121212,5.812121212,2,51.33333333,5.133333333,2,0.12419038,0.01,0.838337182,0.083833718,2,0.284064665,0.028406467,2,59.68586387,5.968586387,2,2.356020942,0.235602094,2,3.232121052,0.01,,,,,,,,,4.525606469,0.452560647,2,5.908355795,0.59083558,2,,,,,,,,,,,,,,,,,,,
2558,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,COM-NF,NPKM-CK,NPKM,NOM,pig manure,42,413,20.1,20.54726368,,70,5.2038,492.4791086,300,253.26,553.26,,,18,93.6684,field,wheat maize,0-20,14.23322684,1.423322684,2,7.364217252,0.736421725,2,0.658946384,0.01,6.869009585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.472222222,0.147222222,2,0.930555556,0.093055556,2,0.458746475,0.01,9.667852191,0.966785219,2,7.913785704,0.79137857,2,0.20019991,0.01,,,,,,,,,96.3030303,9.63030303,2,51.33333333,5.133333333,2,0.629159472,0.01,1.669745958,0.166974596,2,0.284064665,0.028406467,2,223.8219895,22.38219895,2,2.356020942,0.235602094,2,4.553876892,0.01,,,,,,,,,6.291105121,0.629110512,2,5.908355795,0.59083558,2,,,,,,,,,,,,,,,,,,,
2559,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,OM-NF,M-CK,M,OM,pig manure,60,413,20.1,20.54726368,,70,7.434,695.264624,,361.8,361.8,,,18,133.812,field,wheat maize,0-20,15.29818956,1.529818956,2,7.364217252,0.736421725,2,0.731101727,0.01,7.933972311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.541666667,0.154166667,2,0.930555556,0.093055556,2,0.504837582,0.01,9.923149987,0.992314999,2,7.913785704,0.79137857,2,0.226264145,0.01,,,,,,,,,99.27272727,9.927272727,2,51.33333333,5.133333333,2,0.65953057,0.01,1.219399538,0.121939954,2,0.284064665,0.028406467,2,128.7958115,12.87958115,2,2.356020942,0.235602094,2,4.001254139,0.01,,,,,,,,,4.539083558,0.453908356,2,5.908355795,0.59083558,2,,,,,,,,,,,,,,,,,,,
2564,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,IF-NF,NP-CK,NP,N,,,,,,,,,,300,,,,,19,,field,wheat maize,0-20,9.068157614,0.906815761,2,8.067092652,0.806709265,2,0.116975963,0.01,1.001064963,,,,,,,,,,,6.56187291,0.656187291,2,6.080267559,0.608026756,2,0.076227365,0.01,0.481605351,,,,,,,,,0.723616989,0.072361699,2,0.753712375,0.075371237,2,-0.040748597,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006944444,0.100694444,2,0.902777778,0.090277778,2,0.109199292,0.01,9.005618596,0.90056186,2,8.935856476,0.893585648,2,0.007776671,0.01,,,,,,,,,89.51515152,8.951515152,2,62.78787879,6.278787879,2,0.35464586,0.01,0.547344111,0.054734411,2,0.277136259,0.027713626,2,34.55497382,3.455497382,2,3.141361257,0.314136126,2,2.397895273,0.01,,,,,,,,,6.506738544,0.650673854,2,5.649595687,0.564959569,2,,,,,,,,,,,,,,,,,,,
2565,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,IF-NF,NPK-CK,NPK,N,,,,,,,,,,300,,,,,19,,field,wheat maize,0-20,9.068157614,0.906815761,2,8.067092652,0.806709265,2,0.116975963,0.01,1.001064963,,,,,,,,,,,6.381270903,0.63812709,2,6.080267559,0.608026756,2,0.048318577,0.01,0.301003344,,,,,,,,,0.703700925,0.070370093,2,0.753712375,0.075371237,2,-0.068657385,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076388889,0.107638889,2,0.902777778,0.090277778,2,0.175890666,0.01,8.424610945,0.842461095,2,8.935856476,0.893585648,2,-0.058914704,0.01,,,,,,,,,89.51515152,8.951515152,2,62.78787879,6.278787879,2,0.35464586,0.01,0.92147806,0.092147806,2,0.277136259,0.027713626,2,35.34031414,3.534031414,2,3.141361257,0.314136126,2,2.420368129,0.01,,,,,,,,,4.296495957,0.429649596,2,5.649595687,0.564959569,2,,,,,,,,,,,,,,,,,,,
2566,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,COM-NF,NPKM-CK,NPKM,NOM,pig manure,42,413,20.1,20.54726368,,70,5.2038,492.4791086,300,253.26,553.26,,,19,98.8722,field,wheat maize,0-20,12.47603834,1.247603834,2,8.067092652,0.806709265,2,0.436016721,0.01,4.408945687,,,,,,,,,,,8.428093645,0.842809365,2,6.080267559,0.608026756,2,0.326521906,0.01,2.347826087,,,,,,,,,0.675542461,0.067554246,2,0.753712375,0.075371237,2,-0.109494815,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4375,0.14375,2,0.902777778,0.090277778,2,0.465184343,0.01,8.678983192,0.867898319,2,8.935856476,0.893585648,2,-0.029167622,0.01,,,,,,,,,116.6666667,11.66666667,2,62.78787879,6.278787879,2,0.619558824,0.01,1.558891455,0.155889145,2,0.277136259,0.027713626,2,127.2251309,12.72251309,2,3.141361257,0.314136126,2,3.701301974,0.01,,,,,,,,,5.805929919,0.580592992,2,5.649595687,0.564959569,2,,,,,,,,,,,,,,,,,,,
2567,195,"Qaswar et al., 2022","the National Observation and Research Station for Farmland Ecosystems, china",111.88,26.76,17.7,1290,5.7,7.9,1.07,7.38317757,24.28,31.86,43.86,75.72,,OM-NF,M-CK,M,OM,pig manure,60,413,20.1,20.54726368,,70,7.434,695.264624,,361.8,361.8,,,19,141.246,field,wheat maize,0-20,16.25665602,1.625665602,2,8.067092652,0.806709265,2,0.700709275,0.01,8.189563365,,,,,,,,,,,9.150501672,0.915050167,2,6.080267559,0.608026756,2,0.408760004,0.01,3.070234114,,,,,,,,,0.56287724,0.056287724,2,0.753712375,0.075371237,2,-0.291949271,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736111111,0.173611111,2,0.902777778,0.090277778,2,0.653926467,0.01,9.363833866,0.936383387,2,8.935856476,0.893585648,2,0.046782807,0.01,,,,,,,,,140.8484848,14.08484848,2,62.78787879,6.278787879,2,0.807922695,0.01,1.704387991,0.170438799,2,0.277136259,0.027713626,2,183.7696335,18.37696335,2,3.141361257,0.314136126,2,4.069026754,0.01,,,,,,,,,4.107816712,0.410781671,2,5.649595687,0.564959569,2,,,,,,,,,,,,,,,,,,,
2572,196,"Bu et al., 2022","Guichi District, Chizhou City, Anhui, china",117.41,30.64,16.5,1600,6.1,11.72,1.3,9.015384615,10,62.2,27.8,90,clay,IF-NF,N-CK,100%N,N,,,,,,,,,,202.5,,,,,2,,field,rice,0-20,7.0354,0.70354,3,6.5946,0.65946,3,0.064703415,0.006666667,0.4408,0.379576069,3.1436,0.31436,3,2.6796,0.26796,3,0.15970111,0.006666667,0.464,,,,,,,,,,0.446826051,0.044682605,3,0.406332454,0.040633245,3,0.094997695,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.271302468,0.927130247,3,6.378310214,0.637831021,3,0.374020668,0.006666667,2.892992254
2573,196,"Bu et al., 2022","Huoshan County, Lu 'an City, Anhui, china",116.33,31.37,15.3,1366,6.6,13.46,7.1,1.895774648,22.6,50.9,26.5,77.4,sandy loam,IF-NF,N-CK,100%N,N,,,,,,,,,,202.5,,,,,2,,field,rice,0-20,7.5342,0.75342,3,7.4356,0.74356,3,0.013173379,0.006666667,0.0986,0.335464414,2.03,0.203,3,1.8792,0.18792,3,0.077189639,0.006666667,0.1508,,,,,,,,,,0.269438029,0.026943803,3,0.252730109,0.025273011,3,0.06401626,0.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.699363478,0.769936348,3,5.506515343,0.550651534,3,0.335205661,0.006666667,2.192848135
